
GET /api/v1/get-user-details 200 352.210 ms [6/4/2026, 9:40:53 pm]
GET /api/v1/get-regions-for-org 304 97.069 ms [6/4/2026, 9:42:36 pm]
GET /api/v1/get-regions-for-org 304 76.335 ms [6/4/2026, 9:42:36 pm]
GET /api/v1/get-user-details 200 253.664 ms [6/4/2026, 9:42:36 pm]
GET /api/v1/get-user-details 200 252.279 ms [6/4/2026, 9:42:36 pm]
GET /api/v1/get-user-details 200 817.205 ms [6/4/2026, 9:42:37 pm]
GET /api/v1/get-user-details 200 945.909 ms [6/4/2026, 9:42:37 pm]
GET /api/v1/get-user-details 200 158.483 ms [6/4/2026, 9:42:37 pm]
GET /api/v1/get-user-details 200 233.455 ms [6/4/2026, 9:42:37 pm]
GET /api/v1/get-user-details 200 168.508 ms [6/4/2026, 9:42:44 pm]
GET /api/v1/get-user-details 200 242.459 ms [6/4/2026, 9:42:44 pm]
GET /api/v1/get-regions-for-org 304 100.157 ms [6/4/2026, 9:42:44 pm]
GET /api/v1/get-user-details 200 175.079 ms [6/4/2026, 9:42:44 pm]
GET /api/v1/get-regions-for-org 304 87.393 ms [6/4/2026, 9:42:44 pm]
GET /api/v1/get-user-details 200 738.943 ms [6/4/2026, 9:42:44 pm]
GET /api/v1/get-user-details 200 715.674 ms [6/4/2026, 9:42:44 pm]
GET /api/v1/get-user-details 200 237.679 ms [6/4/2026, 9:42:45 pm]
GET /api/v1/get-user-details 200 191.512 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-user-details 200 256.823 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-regions-for-org 304 77.563 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-regions-for-org 304 75.817 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-user-details 200 179.738 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-user-details 200 270.904 ms [6/4/2026, 9:42:54 pm]
GET /api/v1/get-user-details 200 255.875 ms [6/4/2026, 9:42:54 pm]
